IN,India,IN21,Odisha,16315,"Banjara (Hindu traditions)",1,lmn,Lambadi,5,Hinduism,p16315.jpg,N,21730,21640,10,,10,,50
IN,India,IN21,Odisha,17482,"Banjara (Muslim traditions)",1,urd,Urdu,6,Islam,p17482.jpg,Y,10,,10,,,,
IN,India,IN21,Odisha,21098,"Banjara Rathod (Hindu traditions)",1,lmn,Lambadi,5,Hinduism,p21098.jpg,N,530,530,,,,,
IN,India,IN21,Odisha,19066,Banka,1,ory,Odia,5,Hinduism,,Y,32150,32150,,,,,
IN,India,IN21,Odisha,16323,"Bansphor (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16323.jpg,Y,1070,1070,,,,,
IN,India,IN21,Odisha,16331,Bargunda,1,hin,Hindi,5,Hinduism,p16331.jpg,Y,90,90,,,,,
IN,India,IN21,Odisha,16334,"Bari (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16334.jpg,Y,140,140,,,,,
IN,India,IN21,Odisha,16523,"Baria (Hindu traditions)",1,guj,Gujarati,5,Hinduism,p16523.jpg,Y,60,60,,,,,
IN,India,IN21,Odisha,16335,Bariki,1,ory,Odia,5,Hinduism,,N,5320,5230,,20,50,10,
IN,India,IN21,Odisha,16340,Basor,1,hin,Hindi,5,Hinduism,p16340.jpg,Y,90,90,,,,,
IN,India,IN21,Odisha,21100,"Basor Kandra",1,mar,Marathi,5,Hinduism,,N,40,40,,,,,
IN,India,IN21,Odisha,16529,Basushabar,1,ory,Odia,5,Hinduism,,Y,2260,2260,,,,,
IN,India,IN21,Odisha,16341,Bathudi,1,ory,Odia,5,Hinduism,p16341.jpg,Y,257850,257520,220,10,180,30,190
IN,India,IN21,Odisha,10736,Bauri,1,ben,Bengali,5,Hinduism,p10736.jpg,N,623660,620280,,680,3960,,
IN,India,IN21,Odisha,16343,Bauti,1,ory,Odia,5,Hinduism,,Y,1680,1680,,,,,
IN,India,IN21,Odisha,16345,Bavuri,1,ory,Odia,5,Hinduism,,Y,540,540,,,,,
IN,India,IN21,Odisha,16348,"Bawaria (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16348.jpg,Y,110,,,,,110,
IN,India,IN21,Odisha,16351,"Bazigar (Hindu traditions)",1,pan,"Punjabi, Eastern",5,Hinduism,p16351.jpg,Y,5000,5000,,,,,
IN,India,IN21,Odisha,16365,"Bedar (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16365.jpg,Y,20,20,,,,,
IN,India,IN21,Odisha,16367,"Bedia (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16367.jpg,Y,680,680,,,,,
IN,India,IN21,Odisha,16370,Behara,1,ben,Bengali,6,Islam,p16370.jpg,Y,1210,,1210,,,,
IN,India,IN21,Odisha,16372,Belama,1,ory,Odia,5,Hinduism,,Y,28060,28060,,,,,
IN,India,IN21,Odisha,16375,"Beldar (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16375.jpg,Y,3740,3740,,,,,
IN,India,IN21,Odisha,21532,"Beldar Laria (Hindu traditions)",1,hin,Hindi,5,Hinduism,,Y,430,430,,,,,
IN,India,IN21,Odisha,21114,"Beldar Sunkar",1,kan,Kannada,5,Hinduism,,Y,320,320,,,,,
IN,India,IN21,Odisha,13761,"Bengali Muslim Moghal",1,urd,Urdu,6,Islam,p13761.jpg,Y,24350,,24350,,,,
IN,India,IN21,Odisha,16384,"Besya (Hindu traditions)",1,ben,Bengali,5,Hinduism,,Y,2510,2510,,,,,
IN,India,IN21,Odisha,16398,Bhadayi,1,ory,Odia,5,Hinduism,,Y,4650,4650,,,,,
IN,India,IN21,Odisha,16401,Bhaina,1,hne,Chhattisgarhi,5,Hinduism,p16401.jpg,N,7160,7160,,,,,
IN,India,IN21,Odisha,16403,Bhampta,1,mar,Marathi,5,Hinduism,p16403.jpg,Y,610,610,,,,,
IN,India,IN21,Odisha,16422,"Bhand (Hindu traditions)",1,hin,Hindi,5,Hinduism,,Y,40,40,,,,,
IN,India,IN21,Odisha,16404,Bhandari,1,ory,Odia,5,Hinduism,p16404.jpg,Y,720430,720330,,,110,,
IN,India,IN21,Odisha,16405,Bhar,1,bho,Bhojpuri,5,Hinduism,p16405.jpg,Y,40,40,,,,,
IN,India,IN21,Odisha,16412,"Bharbhunja (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16412.jpg,Y,60,60,,,,,
IN,India,IN21,Odisha,16352,"Bharia Bhumia",1,hin,Hindi,5,Hinduism,p16352.jpg,Y,12590,12590,,,,,
IN,India,IN21,Odisha,16406,"Bhat (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16406.jpg,Y,9980,9980,,,,,
