ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN39,Uttarakhand,21555,"Koli of Gujarat",1,guj,Gujarati,5,Hinduism,p21555.jpg,N,200,200,,,,,
IN,India,IN39,Uttarakhand,17251,Kolta,1,ory,Odia,5,Hinduism,p17251.jpg,N,160,160,,,,,
IN,India,IN39,Uttarakhand,12771,Konai,1,ben,Bengali,5,Hinduism,,Y,20,20,,,,,
IN,India,IN39,Uttarakhand,17273,Korwa,1,tel,Telugu,5,Hinduism,p17273.jpg,N,110,110,,,,,
IN,India,IN39,Uttarakhand,17287,Kraal,1,kas,Kashmiri,5,Hinduism,,Y,10,10,,,,,
IN,India,IN39,Uttarakhand,12845,Kumal,1,npi,Nepali,5,Hinduism,p12845.jpg,Y,60,60,,,,,
IN,India,IN39,Uttarakhand,17316,"Kumhar (Kusavar) (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17316.jpg,Y,72520,72470,,,50,,
IN,India,IN39,Uttarakhand,17597,"Kumhar (Muslim traditions)",1,urd,Urdu,6,Islam,p17597.jpg,Y,5210,,5210,,,,
IN,India,IN39,Uttarakhand,18126,"Kumhar (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18126.jpg,Y,3650,,,,,3650,
IN,India,IN39,Uttarakhand,21174,"Kumhar Bardiha",1,hin,Hindi,5,Hinduism,p21174.jpg,Y,3790,3790,,,,,
IN,India,IN39,Uttarakhand,21175,"Kumhar Kanaujia",1,hin,Hindi,5,Hinduism,p21175.jpg,Y,360,360,,,,,
IN,India,IN39,Uttarakhand,21330,"Kumhar Kasgar",1,urd,Urdu,6,Islam,p21330.jpg,Y,270,,270,,,,
IN,India,IN39,Uttarakhand,17320,"Kumhiar (Hindu traditions)",1,dgo,Dogri,5,Hinduism,p17320.jpg,Y,50,50,,,,,
IN,India,IN39,Uttarakhand,17325,"Kunbi (Hindu traditions)",1,guj,Gujarati,5,Hinduism,p17325.jpg,Y,80,80,,,,,
IN,India,IN39,Uttarakhand,17334,"Kurmi (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17334.jpg,Y,54550,54550,,,,,
IN,India,IN39,Uttarakhand,18128,"Labana (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18128.jpg,Y,4580,,,,,4580,
IN,India,IN39,Uttarakhand,17372,Lingayat,1,kan,Kannada,4,"Ethnic Religions",p17372.jpg,Y,60,,,,,,60
IN,India,IN39,Uttarakhand,17378,"Lodha (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17378.jpg,Y,48150,48030,,,140,,
IN,India,IN39,Uttarakhand,17608,"Lodha (Muslim traditions)",1,urd,Urdu,6,Islam,p17608.jpg,Y,190,,190,,,,
IN,India,IN39,Uttarakhand,21768,"Lodha Jariya",1,hin,Hindi,5,Hinduism,p21768.jpg,Y,7560,7560,,,,,
IN,India,IN39,Uttarakhand,17379,"Lohar (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17379.jpg,Y,30530,30430,,70,,,
IN,India,IN39,Uttarakhand,17609,"Lohar (Muslim traditions)",1,urd,Urdu,6,Islam,p17609.jpg,Y,16870,,16870,,,,
IN,India,IN39,Uttarakhand,17391,"Lunia (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17391.jpg,Y,3050,3050,,,,,
IN,India,IN39,Uttarakhand,19483,"Madari (Muslim traditions)",1,urd,Urdu,6,Islam,p19483.jpg,Y,1260,,1260,,,,
IN,India,IN39,Uttarakhand,17397,"Madiga (Hindu traditions)",1,tel,Telugu,5,Hinduism,p17397.jpg,N,60,60,,,,,
IN,India,IN39,Uttarakhand,11698,Magar,2,npi,Nepali,5,Hinduism,p11698.jpg,N,860,770,,80,,,
IN,India,IN39,Uttarakhand,17405,"Mahar (Buddhist traditions)",1,mar,Marathi,2,Buddhism,p17405.jpg,N,80,80,,,,,
IN,India,IN39,Uttarakhand,17411,Mahishya,1,ben,Bengali,5,Hinduism,p17411.jpg,N,3700,3700,,,,,
IN,India,IN39,Uttarakhand,17599,"Mahratta Kunbi",1,guj,Gujarati,5,Hinduism,p17599.jpg,Y,120,120,,,,,
IN,India,IN39,Uttarakhand,17554,"Mahratta unspecified",1,mar,Marathi,5,Hinduism,p17554.jpg,Y,400,400,,,,,
IN,India,IN39,Uttarakhand,18131,"Mahtam (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18131.jpg,N,8030,,,,,8030,
IN,India,IN39,Uttarakhand,17410,Mahyavanshi,1,guj,Gujarati,5,Hinduism,p17410.jpg,N,50,50,,,,,
IN,India,IN39,Uttarakhand,17417,Majhwar,1,hin,Hindi,5,Hinduism,p17417.jpg,N,970,910,,,,60,
IN,India,IN39,Uttarakhand,17424,"Mal (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17424.jpg,Y,130,130,,,,,
IN,India,IN39,Uttarakhand,17498,"Malabar Catholic",3,mal,Malayalam,1,Christianity,p17498.jpg,N,360,,,,360,,
IN,India,IN39,Uttarakhand,18786,"Mali (Hindu traditions)",1,hin,Hindi,5,Hinduism,p18786.jpg,Y,60950,60950,,,,,
IN,India,IN39,Uttarakhand,18787,"Mali (Muslim traditions)",1,urd,Urdu,6,Islam,,Y,1060,,1060,,,,
IN,India,IN39,Uttarakhand,21195,"Mali Bhagirathi",1,hin,Hindi,5,Hinduism,,Y,13700,13700,,,,,
IN,India,IN39,Uttarakhand,17432,"Mallah (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17432.jpg,Y,3580,3580,,,,,
